date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:16:31	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2028%20Aug%202020%2006:16:30%20GMT	https://i.imgur.com/MXkW8DZ.png	C:/My%20Web%20Sites/duniya/i.imgur.com/MXkW8DZ.14.delayed	(from http://www.dominos.co.in-freebies.club/)
06:16:31	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2028%20Aug%202020%2006:16:31%20GMT	https://i.imgur.com/z43WkCC.png	C:/My%20Web%20Sites/duniya/i.imgur.com/z43WkCC.png	(from http://www.dominos.co.in-freebies.club/)
06:16:33	1331/1331	---M-Z	200	added ('OK')	application/x-javascript		http://www.dominos.co.in-freebies.club/bundles/custom.min.js	C:/My%20Web%20Sites/duniya/www.dominos.co.in-freebies.club/bundles/custom.min.js	(from http://www.dominos.co.in-freebies.club/)
06:16:34	1169/1169	---M-Z	200	added ('OK')	application/javascript	etag:%22491-5adc9a75cbca1-gzip%22	http://www.dominos.co.in-freebies.club/bundles/voucherf0c9.js	C:/My%20Web%20Sites/duniya/www.dominos.co.in-freebies.club/bundles/voucherf0c9.js	(from http://www.dominos.co.in-freebies.club/)
06:16:34	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/My%20Web%20Sites/duniya/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://www.dominos.co.in-freebies.club/)
06:16:35	2921/2921	---M--	200	added ('OK')	image/png	etag:%22b429080b9a848ea996dcb13449f8926e%22	https://i.imgur.com/Nz0GW7P.png	C:/My%20Web%20Sites/duniya/i.imgur.com/Nz0GW7P.png	(from http://www.dominos.co.in-freebies.club/bundles/voucher_main_style0cee.css)
06:16:36	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Aug%202020%2006:16:35%20GMT	http://www.dominos.co.in-freebies.club/bundles/9eeec628/images/woolworths/menu.png	C:/My%20Web%20Sites/duniya/www.dominos.co.in-freebies.club/bundles/9eeec628/images/woolworths/menu.png	(from http://www.dominos.co.in-freebies.club/bundles/voucher_layout_layout-products0cee.css)
06:16:37	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Aug%202020%2006:16:36%20GMT	http://www.dominos.co.in-freebies.club/bundles/9eeec628/images/woolworths/basket.png	C:/My%20Web%20Sites/duniya/www.dominos.co.in-freebies.club/bundles/9eeec628/images/woolworths/basket.png	(from http://www.dominos.co.in-freebies.club/bundles/voucher_layout_layout-products0cee.css)
06:16:39	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Aug%202020%2006:16:37%20GMT	http://www.dominos.co.in-freebies.club/bundles/9eeec628/images/woolworths/invalid.png	C:/My%20Web%20Sites/duniya/www.dominos.co.in-freebies.club/bundles/9eeec628/images/woolworths/invalid.png	(from http://www.dominos.co.in-freebies.club/bundles/voucher_color_white7c56.css)
06:16:40	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Aug%202020%2006:16:39%20GMT	http://www.dominos.co.in-freebies.club/bundles/9eeec628/images/woolworths/valid.png	C:/My%20Web%20Sites/duniya/www.dominos.co.in-freebies.club/bundles/9eeec628/images/woolworths/valid.png	(from http://www.dominos.co.in-freebies.club/bundles/voucher_color_white7c56.css)
